Company,Ticker,Name,Title,Equity,Cash,Other,Total,F_Salary,M_Salary,F_Number,M_Number,F_Hourly,M_Hourly,H_Number,S_Number,S_Median,H_Median,Median,CEO_Ratio,S_Gender_Ratio,H_Gender_Ratio
CYPRESS SEMICONDUCTOR CORP,CY,J. Daniel McCranie,"Executive Vice President, Sales and Applications",2069798.0,574045.0,14633.0,2658476.0,98000.0,101619.0,3.0,17.0,,,,20.0,101076.15,,101076.15,26.3017141037,0.96438658125,
D R HORTON INC,DHI,Donald R. Horton,Chairman of the Board,7204660.0,7740552.0,110207.0,15055419.0,42089.0,63245.0,20.0,37.0,16.21,16.83,12.0,57.0,55821.8421053,33040.0,51859.7826087,290.310106265,0.665491343189,0.963161021985
DAKTRONICS INC,DAKT,Reece A. Kurtenbach,Chief Executive Officer and President,200480.0,363992.0,5882.0,570354.0,46897.0,62071.0,5.0,38.0,16.59,20.27,24.0,43.0,60306.5813953,36860.0,51907.8059701,10.9878271551,0.755538012921,0.818450912679
DANA HOLDING CORP,DAN,Roger J. Wood,Former President and Chief Executive Officer,4422571.0,3684306.0,401370.0,8508247.0,64892.0,86142.0,11.0,29.0,14.54,20.43,8.0,40.0,80298.25,34970.0,72743.5416667,116.962232042,0.753314295001,0.711698482624
DANAHER CORP,DHR,H. Lawrence Culp Jr.,Former President and CEO,9866415.0,3319696.0,515697.0,13701808.0,86791.0,90029.0,23.0,72.0,18.67,18.39,19.0,95.0,89245.0631579,37060.0,80547.5526316,170.108309345,0.964033811327,1.01522566612
DARDEN RESTAURANTS INC,DRI,Eugene I. Lee Jr.,Chief Executive Officer,1884371.0,2143247.0,241296.0,4268914.0,55046.0,60851.0,27.0,54.0,8.33,11.34,48.0,81.0,58916.0,19670.0,44312.8372093,96.3358310784,0.904603046786,0.734567901235
DAVITA HEALTHCARE PARTNERS,DVA,Kent J. Thiry,"Co-chairman of the Board of Directors, Chief Executive Officer and Chief Executive Officer, HealthCare Partners",9463889.0,3810000.0,517134.0,13791023.0,63005.0,76633.0,210.0,104.0,20.37,19.57,953.0,314.0,67518.7324841,39940.0,46774.8239937,294.838586712,0.822165385669,1.04087889627
DCP MIDSTREAM PARTNERS LP,DPM,William S. Waldheim,President,517227.0,631509.0,222876.0,1371612.0,74000.0,75189.0,3.0,30.0,26.74,26.98,6.0,33.0,75080.9090909,53720.0,71794.6153846,19.1046639452,0.984186516645,0.991104521868
DEAN FOODS CO,DF,Gregg A. Tanner,CEO and Director,1851753.0,7600066.0,95477.0,9547296.0,67783.0,70786.0,9.0,48.0,17.1,19.42,33.0,57.0,70311.8421053,36520.0,57921.5,164.831642827,0.957576356907,0.880535530381
DEERE & CO,DE,Samuel R. Allen,Chairman and Chief Executive Officer,8272810.0,7019363.0,477883.0,15770056.0,55669.0,66052.0,22.0,80.0,16.33,17.95,71.0,102.0,63812.5294118,34280.0,51692.2427746,305.075871225,0.842805668261,0.909749303621
DELPHI AUTOMOTIVE PLC,DLPH,Kevin P. Clark,President and Chief Executive Officer,9112214.0,2919667.0,164438.0,12196319.0,80969.0,88102.0,12.0,71.0,26.78,20.39,14.0,83.0,87070.7228916,47170.0,81311.8556701,149.994350756,0.919037025266,1.31338891614
DELTA AIR LINES INC,DAL,Richard H. Anderson,Chief Executive Officer,13410360.0,3880626.0,298881.0,17589867.0,67476.0,83194.0,30.0,74.0,18.08,20.13,50.0,104.0,78659.9615385,38210.0,65526.8571429,268.437519621,0.811068105873,0.898161947342
DELUXE CORP,DLX,Lee J. Schram,Chief Executive Officer,3000372.0,3414563.0,29821.0,6444756.0,61647.0,77182.0,20.0,22.0,17.01,18.72,21.0,42.0,69784.3809524,35730.0,58432.9206349,110.293237613,0.798722500065,0.908653846154
DENNYS CORP,DENN,John C. Miller,President and Chief Executive Officer,2037503.0,2796080.0,73991.0,4907574.0,38318.0,41184.0,58.0,36.0,6.7,10.9,98.0,94.0,39415.6170213,17600.0,28280.5625,173.531696903,0.93040986791,0.614678899083
DENTSPLY SIRONA INC.,XRAY,Bret W. Wise,Chairman of the Board and Chief Executive Officer,3759834.0,2474900.0,243020.0,6477754.0,66283.0,68264.0,16.0,27.0,19.38,20.91,14.0,43.0,67526.8837209,40290.0,60837.122807,106.476994656,0.970980311731,0.926829268293
DEVON ENERGY CORP,DVN,John Richels,"Vice Chairman, President and Chief Executive Officer",10047382.0,4592345.0,243705.0,14883432.0,66419.0,85353.0,10.0,20.0,24.0,31.33,15.0,30.0,79041.6666667,55330.0,71137.7777778,209.219805073,0.778168312772,0.766038940313
DEVRY EDUCATION GROUP INC,DV,Daniel M. Hamburger,Chief Executive Officer and President,3492094.0,1673795.0,177518.0,5343407.0,61131.0,76329.0,14.0,10.0,20.17,19.47,12.0,24.0,67463.5,39640.0,58189.0,91.8284727354,0.800888260032,1.03595274782
DIEBOLD INC,DBD,Andreas W. Mattes,President and Chief Executive Officer,7680383.0,1387793.0,322998.0,9391174.0,50587.0,58161.0,19.0,73.0,16.0,18.51,22.0,92.0,56596.8043478,34510.0,52334.4385965,179.445394884,0.869775278967,0.864397622907
DIGITAL POWER CORP,DPW,Amos Kohn,Chief Executive Officer,75031.0,202458.0,44603.0,322092.0,54160.0,55527.0,18.0,37.0,13.67,13.76,27.0,55.0,55079.6181818,27430.0,45975.4756098,7.00573503,0.975381346012,0.993459302326
DILLARDS INC  -CL A,DDS,William Dillard II,Chief Executive Officer,207296.0,2784100.0,284560.0,3275956.0,43432.0,53423.0,47.0,16.0,12.79,12.7,86.0,63.0,45969.3968254,25490.0,34149.0738255,95.9310351062,0.812983172042,1.00708661417
DISCOVER FINANCIAL SVCS INC,DFS,Roger C. Hochschild,President and Chief Operating Officer,8387957.0,1706250.0,18400.0,10112607.0,67065.0,71270.0,61.0,71.0,16.94,15.86,45.0,132.0,69326.780303,32800.0,60040.3107345,168.430290854,0.94099901782,1.06809583859
"DISCOVERY COMMUNICATIONS, INC.",DISCK,David M. Zaslav,President and Chief Executive Officer,21762412.0,10022263.0,592671.0,32377346.0,68187.0,77512.0,27.0,15.0,22.49,23.07,8.0,42.0,71517.3571429,45560.0,67364.18,480.631486942,0.879696047064,0.974859124404
DISH NETWORK CORP,DISH,Roger J. Lynch,"Chief Executive Officer, Sling TV Holding L.L.C.",1162795.0,486538.0,2600.0,1651933.0,56312.0,61625.0,48.0,119.0,14.31,14.59,67.0,167.0,60097.9101796,28900.0,51165.1752137,32.2862766149,0.913784989858,0.980808773132
DISNEY (WALT) CO,DIS,Robert A. Iger,Chairman and Chief Executive Officer,17282564.0,24888077.0,1319926.0,43490567.0,76141.0,81589.0,174.0,264.0,15.53,15.25,174.0,438.0,79424.7260274,30780.0,65594.3627451,663.022936422,0.93322629276,1.01836065574
DIVERSICARE HEALTHCARE SVCS,DVCR,Kelly J. Gill,President and Chief Executive Officer,137750.0,900000.0,46166.0,1083916.0,66716.0,,15.0,,13.89,18.05,62.0,15.0,66716.0,31940.0,38714.5454545,27.9976424177,,0.769529085873
DOLLAR TREE INC,DLTR,Bob Sasser,Chief Executive Officer,4104531.0,3646542.0,63415.0,7814488.0,42143.0,47060.0,83.0,67.0,9.23,10.08,231.0,150.0,44339.26,19310.0,29164.0393701,267.949439405,0.895516362091,0.915674603175
DOMINION RESOURCES INC,D,Thomas F. Farrell II,"Chairman, President and Chief Executive Officer",4450009.0,5029646.0,180774.0,9660429.0,61051.0,76622.0,6.0,25.0,,,,31.0,73608.2580645,,73608.2580645,131.241103295,0.796781603195,
DOMINO'S PIZZA INC,DPZ,J. Patrick Doyle,President and Chief Executive Officer,4941989.0,3634935.0,400489.0,8977413.0,36506.0,35519.0,31.0,82.0,9.18,9.33,139.0,113.0,35789.7699115,18510.0,26258.468254,341.886393112,1.02778794448,0.983922829582
DONNELLEY (R R) & SONS CO,RRD,Thomas J. Quinlan,President and Chief Executive Officer,6420138.0,1523533.0,31844.0,7975515.0,55651.0,67119.0,82.0,102.0,14.94,18.1,88.0,184.0,62008.2608696,33040.0,52636.1764706,151.521549147,0.829139289918,0.825414364641
DOW CHEMICAL,DOW,Andrew Liveris,CEO & Chairman,13162404.0,7642975.0,623496.0,21428875.0,77743.0,90201.0,58.0,172.0,19.4,24.02,64.0,230.0,87059.4173913,43420.0,77559.6802721,276.288851692,0.86188623186,0.807660283097
DR PEPPER SNAPPLE GROUP INC,DPS,Larry D. Young,President & CEO,5999908.0,3496814.0,379721.0,9876443.0,60021.0,63229.0,35.0,69.0,14.51,14.81,53.0,104.0,62149.3846154,29320.0,51066.8535032,193.402223213,0.949263787186,0.97974341661
DST SYSTEMS INC,DST,Stephen C. Hooley,"Chairman, CEO and President",3849993.0,2267561.0,249973.0,6367527.0,59395.0,64017.0,17.0,36.0,15.74,20.38,10.0,53.0,62534.4716981,36120.0,58341.6984127,109.14195461,0.927800428011,0.772325809617
DTE ENERGY CO,DTE,Gerard M. Anderson,Chairman and Chief Executive Officer,6299250.0,3241269.0,134250.0,9674769.0,75738.0,81204.0,17.0,31.0,17.83,32.1,19.0,48.0,79268.125,49930.0,70948.358209,136.363536017,0.932688044924,0.555451713396
DU PONT (E I) DE NEMOURS,DD,E. J. Kullman,Former Chair & Chief Executive Officer,10044513.0,1940250.0,287391.0,12272154.0,91085.0,96046.0,63.0,174.0,20.76,28.28,23.0,237.0,94727.2531646,49040.0,90685.6884615,135.326248366,0.948347666743,0.734087694484
DUKE ENERGY CORP,DUK,Lynn J. Good,"Chairman, President, and Chief Executive Officer",7565830.0,2797919.0,312198.0,10675947.0,74087.0,82942.0,48.0,159.0,23.84,35.28,89.0,207.0,80888.6666667,59120.0,74343.3581081,143.603238698,0.893238648694,0.675736961451
DUN & BRADSTREET CORP/NW,DNB,Robert P. Carrigan,"Chief Executive Officer (""Principal Executive Officer"")",5186932.0,1734000.0,9665.0,6930597.0,89498.0,95989.0,17.0,27.0,,,,44.0,93481.1136364,,93481.1136364,74.1390076605,0.932377668274,
"DUNKIN' BRANDS GROUP, INC.",DNKN,Nigel Travis,Chairman and Chief Executive Officer,3341637.0,2058365.0,20902.0,5420904.0,37593.0,45009.0,52.0,42.0,9.15,9.2,189.0,94.0,40906.5319149,18350.0,25842.2756184,209.768833057,0.835232953409,0.994565217391
E TRADE FINANCIAL CORP,ETFC,Navtej S. Nandra,Former President,4599986.0,800000.0,4508698.0,9908684.0,77523.0,95953.0,12.0,19.0,21.5,22.01,7.0,31.0,88818.8064516,43510.0,80472.4473684,123.131386257,0.807926797495,0.976828714221
E.W. SCRIPPS CO,SSP,Richard A. Boehne,President & Chief Executive Officer,1928961.0,1852185.0,189340.0,3970486.0,45228.0,59449.0,22.0,20.0,17.21,18.16,20.0,42.0,51999.9047619,35370.0,46635.4193548,85.138850576,0.760786556544,0.94768722467
EAST WEST BANCORP INC,EWBC,Dominic Ng,Chairman and Chief Executive Officer,3249986.0,2540000.0,69984.0,5859970.0,55041.0,74960.0,14.0,17.0,18.25,18.23,8.0,31.0,65964.3225806,36480.0,59916.2564103,97.802672448,0.734271611526,1.0010970927
EASTMAN CHEMICAL CO,EMN,Mark J. Costa,Chief Executive Officer,6604181.0,2790170.0,231514.0,9625865.0,71609.0,82472.0,19.0,53.0,,,,72.0,79605.375,,79605.375,120.919787137,0.868282568629,
EASTMAN KODAK CO,KODK,J. J. Clarke,CEO,4000028.0,758885.0,91094.0,4850007.0,95371.0,89955.0,6.0,19.0,19.81,22.81,13.0,25.0,91254.84,42620.0,74616.6052632,64.9990304825,1.06020788172,0.868478737396
EATON CORP PLC,ETN,A. M. Cutler,"Chairman of the Company, Chief Executive Officer of Eaton Corporation",8924470.0,6610605.0,102021.0,15637096.0,72697.0,79048.0,84.0,294.0,17.23,18.68,96.0,378.0,77636.6666667,35910.0,69185.6962025,226.016313462,0.919656411294,0.922376873662
ECHO GLOBAL LOGISTICS INC,ECHO,Douglas R. Waggoner,Chief Executive Officer,768136.0,1832188.0,51330.0,2651654.0,44194.0,50204.0,12.0,15.0,,,,27.0,47532.8888889,,47532.8888889,55.7856688702,0.880288423233,
ECHOSTAR CORP,SATS,Michael T. Dugan,Chief Executive Officer and President,5001927.0,850013.0,29042.0,5880982.0,74521.0,76992.0,5.0,28.0,,,,33.0,76617.6060606,,76617.6060606,76.7575796528,0.967905756442,
ECOLAB INC.,ECL,Douglas M. Baker Jr.,Chairman of the Board and Chief Executive Officer (principal executive officer),8809307.0,1140343.0,139888.0,10089538.0,68298.0,78914.0,55.0,131.0,17.27,20.64,46.0,186.0,75774.8602151,37910.0,68267.1724138,147.794871873,0.865473806929,0.836724806202
EDWARDS LIFESCIENCES CORP,EW,Michael A. Mussallem,Chairman of the Board and Chief Executive Officer,5835527.0,3047877.0,178142.0,9061546.0,81634.0,82337.0,21.0,25.0,56.5,16.82,6.0,46.0,82016.0652174,73320.0,81012.6730769,111.853437936,0.9914619187,3.35909631391
ELECTRONIC ARTS INC,EA,ANDREW WILSON,Chief Executive Officer,12503650.0,1454512.0,17219.0,13975381.0,85762.0,90383.0,23.0,55.0,23.89,31.5,20.0,78.0,89020.3974359,55390.0,82157.0510204,170.105679627,0.948873128796,0.758412698413
ELLIS PERRY INTL INC,PERY,Oscar Feldenkreis,"Vice Chairman, President and Chief Operating Officer",925008.0,1838462.0,98400.0,2861870.0,63516.0,47023.0,19.0,3.0,,,,22.0,61266.9545455,,61266.9545455,46.7114780102,1.3507432533,
EMC CORP/MA,EMC,Joseph M. Tucci,Chairman and Chief Executive Officer,7942324.0,2144422.0,320964.0,10407710.0,83496.0,96522.0,110.0,297.0,25.76,21.97,75.0,407.0,93001.4594595,47730.0,85957.1452282,121.080219362,0.865046310686,1.17250796541
EMERSON ELECTRIC CO,EMR,D. N. Farr,Chairman of the Board and Chief Executive Officer,10335200.0,3100000.0,439613.0,13874813.0,82870.0,87389.0,29.0,129.0,18.17,20.07,23.0,158.0,86559.5632911,38240.0,80419.5082873,172.530438142,0.948288686219,0.905331340309
ENCORE CAPITAL GROUP INC,ECPG,Kenneth A. Vecchione,President and Chief Executive Officer,1719939.0,1799052.0,72084.0,3591075.0,65234.0,67960.0,13.0,15.0,24.04,22.9,17.0,28.0,66694.3571429,46940.0,59231.6,60.6276885987,0.959888169511,1.04978165939
ENERGIZER HOLDINGS INC,ENR,Alan R. Hoskins,President & Chief Executive Officer,7825107.0,1439667.0,67616.0,9332390.0,67933.0,86609.0,6.0,13.0,,,,19.0,80711.3157895,,80711.3157895,115.626785522,0.784364211572,
"ENERGY TRANSFER PARTNERS, L.P.",ETP,Marshall S. (Mackie) McCrea III,President and Chief Operating Officer,6715336.0,1853076.0,13323.0,8581735.0,53481.0,75666.0,8.0,21.0,23.47,26.28,12.0,29.0,69546.0,49750.0,63752.0487805,134.611124884,0.706803584173,0.893074581431
ENERNOC INC,ENOC,Timothy G. Healy,Chairman and Chief Executive Officer,2577500.0,1076608.0,7860.0,3661968.0,83688.0,79105.0,8.0,32.0,,,,40.0,80021.6,,80021.6,45.7622441941,1.05793565514,
ENGILITY HOLDINGS INC,EGL,Anthony Smeraglinolo,President and Chief Executive Officer,5268046.0,1856154.0,1492706.0,8616906.0,82820.0,85226.0,30.0,89.0,16.34,26.72,16.0,119.0,84619.4453782,43060.0,79693.8814815,108.125063553,0.97176917842,0.611526946108
ENSIGN GROUP INC,ENSG,Christopher R. Christensen,Chief Executive Officer and President,1020508.0,2084154.0,22664.0,3127326.0,55365.0,57094.0,18.0,6.0,21.64,20.88,42.0,24.0,55797.25,42520.0,47348.0909091,66.0496746533,0.9697166077,1.03639846743
ENTEGRIS INC,ENTG,Bertrand Loy,President & Chief Executive Officer,2199988.0,1442677.0,59455.0,3702120.0,56558.0,87165.0,5.0,23.0,,,,28.0,81699.4642857,,81699.4642857,45.3138834185,0.648861354902,
ENTERGY CORP /DE/,ETR,Leo P. Denault,Chairman of the Board and Chief Executive Officer,5360442.0,2835260.0,88795.0,8284497.0,73023.7647059,79055.2881356,17.0,59.0,,,,76.0,77706.1315789,,77706.1315789,106.613169793,0.923704997199,
"ENVISION HEALTHCARE HOLDINGS, INC.",EVHC,Steve W. Ratton Jr.,"Executive Vice President, Chief Strategy Officer and Treasurer",0.0,2256024.0,7950.0,2263974.0,57750.0,87429.0,15.0,4.0,16.32,17.03,18.0,19.0,63998.2105263,33350.0,49088.2702703,46.1204680372,0.660535977765,0.958308866706
EOG RESOURCES INC,EOG,William R. Thomas,Chairman of the Board and Chief Executive Officer,5320147.0,2125000.0,289590.0,7734737.0,58461.0,86003.0,18.0,17.0,36.97,20.66,9.0,35.0,71838.5428571,57630.0,68932.25,112.207812744,0.679755357371,1.7894482091
EPIQ SYSTEMS INC,EPIQ,Tom W. Olofson,Chairman/CEO,2058985.0,975000.0,258324.0,3292309.0,69734.0,72868.0,8.0,26.0,16.4,28.42,10.0,34.0,72130.5882353,44820.0,65923.6363636,49.9412529649,0.956990722951,0.577058409571
EQUIFAX INC,EFX,Richard F. Smith,Chairman and Chief Executive Officer,8315508.0,4495000.0,112203.0,12922711.0,72415.0,90917.0,34.0,61.0,18.9,25.52,12.0,95.0,84295.2315789,44420.0,79823.2429907,161.891580896,0.796495704874,0.740595611285
EQUINIX INC,EQIX,Stephen Smith,Chief Executive Officer & President,9063820.0,2042308.0,7800.0,11113928.0,87513.0,84132.0,8.0,12.0,44.5,29.63,16.0,20.0,85484.4,74130.0,80438.0,138.167632214,1.04018684924,1.5018562268
EQUITY RESIDENTIAL,EQR,David J. Neithercut,"Chief Executive Officer & President, Director",5244602.0,2884500.0,10581.0,8139683.0,61055.0,79500.0,11.0,4.0,15.49,19.16,17.0,15.0,65973.6666667,34650.0,49332.96875,164.994793669,0.767987421384,0.808455114823
ESTERLINE TECHNOLOGIES CORP,ESL,Curtis C. Reusser,"Chairman, President & CEO",2286401.0,892964.0,44837.0,3224202.0,68734.0,88190.0,8.0,33.0,15.34,24.63,22.0,41.0,84393.7073171,39970.0,68880.6666667,46.8085190813,0.779385417848,0.622817701989
EXELON CORP,EXC,Christopher M. Crane,"President and Chief Executive Officer, Exelon",9821055.0,3297585.0,380054.0,13498694.0,77652.0,97361.0,35.0,78.0,26.91,31.13,31.0,113.0,91256.4424779,58040.0,84105.6805556,160.496816753,0.797567814628,0.864439447478
EXPEDIA INC,EXPE,Dara Khosrowshahi,Chief Executive Officer,5119089.0,4500000.0,23317.0,9642406.0,82782.0,98658.0,106.0,119.0,23.89,23.28,41.0,225.0,91178.64,47170.0,84395.3533835,114.252806741,0.83908045977,1.02620274914
EXPEDITORS INTERNATIONAL OF WASHINGTON INC,EXPD,Jeffrey S. Musser,President & Chief Executive Officer,1540115.0,4017671.0,1500.0,5559286.0,54335.0,64544.0,37.0,80.0,18.59,17.5,51.0,117.0,61315.5128205,36090.0,53657.7678571,103.60635975,0.841828829945,1.06228571429
EXPRESS INC,EXPR,Michael A. Weiss,Chairman & Former CEO,5315578.0,1500000.0,605251.0,7420829.0,53219.0,45332.0,13.0,15.0,11.59,9.12,48.0,28.0,48993.8214286,20710.0,31130.3552632,238.37919411,1.17398305833,1.27083333333
EXPRESS SCRIPTS HOLDING CO.,ESRX,George Paz,Chief Executive Officer and Chair of the Board,10250000.0,4329693.0,255894.0,14835587.0,64913.0,77156.0,67.0,77.0,15.45,17.49,96.0,144.0,71459.6041667,32940.0,56051.7625,264.676547861,0.841321478563,0.883361921098
EXTRA SPACE STORAGE INC.,EXR,Joseph D. Margolis,Chief Investment Officer,5775617.0,751250.0,121457.0,6648324.0,63274.0,59416.0,12.0,20.0,12.41,13.71,19.0,32.0,60862.75,26120.0,47919.372549,138.739796586,1.06493200485,0.905178701678
EXXON MOBIL CORP,XOM,R. W. Tillerson,Chairman and CEO,18288000.0,5433000.0,540291.0,24261291.0,96337.0,106512.0,54.0,196.0,12.7,25.78,65.0,250.0,104314.2,38480.0,90729.3650794,267.402852194,0.904470857744,0.492629945694
F5 NETWORKS INC,FFIV,John McAdam,"President and Chief Executive Officer, Director",7329524.0,1839395.0,3068.0,9171987.0,90286.0,114294.0,11.0,39.0,,,,50.0,109012.24,,109012.24,84.1372216551,0.789945228971,
FACEBOOK INC,FB,Sheryl K. Sandberg,COO,14332313.0,1217089.0,0.0,15549402.0,106278.0,123174.0,67.0,137.0,27.97,31.45,22.0,204.0,117624.823529,59420.0,111958.867257,138.884952849,0.862828194262,0.889348171701
FACTSET RESEARCH SYSTEMS INC,FDS,Philip Snow,Chief Executive Officer,7354398.0,945000.0,48521.0,8347919.0,88980.0,90010.0,21.0,50.0,,,,71.0,89705.3521127,,89705.3521127,93.0593192423,0.988556827019,
FASTENAL CO,FAST,Leland J. Hein,Chief Operating Officer,218743.0,1114161.0,4379.0,1337283.0,31009.0,32110.0,32.0,117.0,11.27,12.75,52.0,149.0,31873.5436242,24020.0,29841.7810945,44.8124391692,0.965711616319,0.883921568627
FEDERAL-MOGUL HOLDINGS CORP,FDML,Daniel A. Ninivaggi,"Co-Chief Executive Officer, Federal-Mogul and Chief Executive Officer, Motorparts Segment, Director",0.0,2332400.0,71384.0,2403784.0,69818.0,66963.0,22.0,63.0,18.57,18.0,26.0,85.0,67701.9411765,36570.0,60409.7747748,39.7913087569,1.04263548527,1.03166666667
FEDEX CORP,FDX,Frederick W. Smith,"Chairman, President and Chief Executive Officer",8243126.0,2248683.0,372817.0,10864626.0,66126.0,72105.0,74.0,201.0,17.26,16.97,249.0,275.0,70496.1054545,34230.0,53262.7843511,203.981562968,0.917079259413,1.01708898055
FEI CO,FEIC,Anthony L. Trunzo,Executive Vice President and CFO,4791712.0,516907.0,0.0,5308619.0,48667.0,88426.0,7.0,18.0,,,,25.0,77293.48,,77293.48,68.6813299129,0.550369800737,
FERRELLGAS L P,FGP,Stephen L. Wambold,Chief Executive Officer and President,1778450.0,700000.0,28498.0,2506948.0,66190.0,64284.0,4.0,11.0,12.6,15.96,25.0,15.0,64792.2666667,28560.0,42147.1,59.4809132775,1.02964967955,0.789473684211
FIDELITY NATIONAL INFO SVCS,FIS,Gary A. Norcross,President and Chief Executive Officer,10523958.0,2062919.0,366625.0,12953502.0,67870.0,71010.0,25.0,44.0,17.24,18.94,8.0,69.0,69872.3188406,36180.0,66371.8181818,195.16569464,0.955780875933,0.910242872228
FIDELITY NATL FINL FNF GROUP,FNF,William P. Foley II,Chairman of the Board,36018451.0,43515428.0,850863.0,80384742.0,60712.0,94433.0,22.0,29.0,18.69,16.4,19.0,51.0,79886.6862745,35090.0,67727.5857143,1186.88332313,0.642910846844,1.13963414634
FIFTH THIRD BANCORP,FITB,Kevin T. Kabat,Vice Chairman and retired Chief Executive Officer,4999987.0,2644768.0,330725.0,7975480.0,52568.0,62913.0,32.0,58.0,16.61,16.85,16.0,90.0,59234.7777778,33460.0,55344.245283,144.106762306,0.835566576065,0.985756676558
FINISH LINE INC  -CL A,FINL,Glenn S. Lyon,"Chief Executive Officer, Director",2375018.0,2031500.0,111999.0,4518517.0,51170.0,49395.0,15.0,27.0,11.92,11.82,29.0,42.0,50028.9285714,23740.0,39291.1971831,115.000746323,1.03593481122,1.00846023689
"FIRST BANKS, INC",FRBA,Terrance M. McCarthy,President and Chief Executive Officer,0.0,910338.0,10400.0,920738.0,46863.0,66839.0,15.0,12.0,,,,27.0,55741.2222222,,55741.2222222,16.5180805747,0.701132572301,
FIRST DATA CORP,FDC,Frank J. Bisignano,Chief Executive Officer,6129000.0,2640000.0,533199.0,9302199.0,70533.0,81004.0,61.0,81.0,15.55,18.18,26.0,142.0,76505.8943662,33730.0,69885.8154762,133.105680124,0.870734778529,0.855335533553
FIRST HORIZON NATIONAL CORP,FHN,D. B. Jordan,"Chairman, President, & CEO",1573909.0,1970000.0,81582.0,3625491.0,43250.0,69035.0,10.0,9.0,13.19,16.84,11.0,19.0,55463.9473684,30030.0,46138.1666667,78.5790000325,0.626493807489,0.78325415677
FIRST NIAGARA FINANCIAL GRP,FNFG,Gary M. Crosby,President and CEO,2320784.0,1559731.0,37657.0,3918172.0,59672.0,75960.0,20.0,13.0,14.38,16.85,18.0,33.0,66088.4848485,31230.0,53785.4901961,72.8481228992,0.785571353344,0.853412462908
FIRST SOLAR INC,FSLR,James A. Hughes,Chief Executive Officer,2000004.0,2517115.0,10600.0,4527719.0,87352.0,88700.0,3.0,45.0,,,,48.0,88615.75,,88615.75,51.0938405419,0.98480270575,
FIRSTENERGY CORP,FE,Charles E. Jones,President & CEO,5995031.0,2926370.0,26474.0,8947875.0,80730.0,74117.0,8.0,38.0,13.75,29.49,15.0,46.0,75267.0869565,43240.0,67391.5737705,132.774388538,1.08922379481,0.466259749067
FISERV INC,FISV,Jeffery W. Yabuki,President and Chief Executive Officer,7823542.0,2168040.0,9737.0,10001319.0,67577.0,74718.0,104.0,193.0,15.7,16.76,52.0,297.0,72217.4478114,32460.0,66293.7020057,150.863787923,0.904427313365,0.936754176611
FIVE BELOW INC,FIVE,Thomas G. Vellios,Chief Executive Officer and Founder,12000000.0,805085.0,586.0,12805671.0,54778.0,44312.0,10.0,7.0,13.1,14.18,13.0,17.0,50468.4705882,27280.0,40420.1333333,316.814170166,1.23618884275,0.923836389281
FIVE PRIME THERAPEUTICS INC,FPRX,"Lewis T. Williams M.D., Ph.D","Founder, President and Chief Executive Officer",1001358.0,945000.0,0.0,1946358.0,82562.0,83213.0,21.0,19.0,16.85,17.16,11.0,40.0,82871.225,34010.0,72332.5294118,26.9084741793,0.992176703159,0.981934731935
FIVE STAR QUALITY CARE INC,FVE,Paul V. Hoagland,Former Treasurer and Chief Financial Officer,111300.0,590000.0,604919.0,1306219.0,50439.2727273,54766.1578947,22.0,19.0,13.7864615385,15.6272307692,65.0,41.0,52444.4146341,29413.6923077,38321.8018868,34.0855318823,0.920993450448,0.882207586363
FLEXTRONICS INTERNATIONAL,FLEX,Michael M. McNamara,Chief Executive Officer,7686000.0,3590492.0,40698.0,11317190.0,92692.0,89205.0,27.0,78.0,15.41,19.81,42.0,105.0,90101.6571429,35220.0,74421.1836735,152.069470564,1.03908973712,0.777889954568
FLIR SYSTEMS INC,FLIR,Andrew C. Teich,President and Chief Executive Officer,4080036.0,1628240.0,35477.0,5743753.0,69914.0,85820.0,7.0,19.0,20.4,20.95,6.0,26.0,81537.6153846,41350.0,74002.4375,77.6157271847,0.814658587742,0.973747016706
FLOWERS FOODS INC,FLO,Allen L. Shiver,President and Chief Executive Officer,3091213.0,1710450.0,73137.0,4874800.0,50000.0,57899.0,3.0,15.0,15.98,15.58,10.0,18.0,56582.5,31560.0,47645.8928571,102.313120978,0.863572773278,1.02567394095
FLOWSERVE CORP,FLS,Mark A. Blinn,President and Chief Executive Officer (Principal Executive Officer),5096266.0,1090372.0,101563.0,6288201.0,76775.0,85819.0,20.0,65.0,20.0,20.54,25.0,85.0,83691.0,40540.0,73883.9545455,85.1091558199,0.894615411506,0.973709834469
FLUOR CORP,FLR,David T. Seaton,Chairman and Chief Executive Officer,8800057.0,3233302.0,253085.0,12286444.0,74659.0,96442.0,40.0,124.0,29.94,26.95,50.0,164.0,91129.0731707,56890.0,83129.2897196,147.799217838,0.774133676199,1.11094619666
FMC CORP,FMC,Pierre Brondeau,"President, Chief Executive Officer and Chairman of the Board",8519330.0,2912360.0,313963.0,11745653.0,71742.0,99239.0,17.0,21.0,22.42,22.14,16.0,38.0,86937.7105263,44560.0,74381.3518519,157.911260115,0.722921432098,1.01264679313
FMC TECHNOLOGIES INC,FTI,John T. Gremp,Chairman and Chief Executive Officer,6714387.0,1756205.0,137538.0,8608130.0,71587.0,93519.0,21.0,59.0,21.33,18.92,22.0,80.0,87761.85,40250.0,77514.1960784,111.052303133,0.765480811386,1.12737843552
